kamoso 18.12.3-1
karchive 5.56.0-1
kauth 5.56.0-1
kbd 2.0.4-2
kbookmarks 5.56.0-1
kcmutils 5.56.0-1
kcodecs 5.56.0-1
kcompletion 5.56.0-1
kconfig 5.56.0-1
kconfigwidgets 5.56.0-1
kcoreaddons 5.56.0-1
kcrash 5.56.0-1
kdbusaddons 5.56.0-1
kde-cli-tools 5.15.2-1
kdeclarative 5.56.0-1
kdeconnect 1.3.3-1
kded 5.56.0-1
kdelibs4support 5.56.0-1
kdesu 5.56.0-1
kdnssd 5.56.0-1
kemoticons 5.56.0-1
keyutils 1.6-1
kglobalaccel 5.56.0-1
kguiaddons 5.56.0-1
ki18n 5.56.0-1
kiconthemes 5.56.0-1
kinit 5.56.0-1
kio 5.56.0-1
kirigami2 5.56.0-2
kitemmodels 5.56.0-1
kitemviews 5.56.0-1
kjobwidgets 5.56.0-1
kmod 26-2
knotifications 5.56.0-1
knotifyconfig 5.56.0-1
kolourpaint 18.12.3-1
kpackage 5.56.0-1
kparts 5.56.0-1
kpty 5.56.0-1
krb5 1.16.1-1
kservice 5.56.0-1
ktextwidgets 5.56.0-1
kunitconversion 5.56.0-1
kvantum-manjaro 0.12.0-1
kvantum-qt5 0.10.9-1
kwallet 5.56.0-1
kwayland 5.56.0-1
kwidgetsaddons 5.56.0-1
kwindowsystem 5.56.0-1
kxmlgui 5.56.0-1
l-smash 2.14.5-1
ladspa 1.15-1
lame 3.100-2
lapack 3.8.0-2
lcms2 2.9-1
ldb 1:1.4.3-1
ldns 1.7.0-4
lensfun 0.3.2-7
less 530-1
lib32-alsa-lib 1.1.8-2
lib32-alsa-plugins 1.1.8-1
lib32-at-spi2-atk 2.30.1-1
lib32-at-spi2-core 2.30.1-1
lib32-atk 2.30.0-1
lib32-attr 2.4.48-1
lib32-bzip2 1.0.6-3
lib32-cairo 1.16.0-2
lib32-colord 1.4.4-1
lib32-cracklib 2.9.6-2
lib32-dbus 1.12.12-1
lib32-dconf 0.30.1-1
lib32-e2fsprogs 1.44.5-1
lib32-expat 2.2.6-2
lib32-flac 1.3.2-2
lib32-flex 2.6.4-2
lib32-fontconfig 2:2.13.1+12+g5f5ec56-1
lib32-freetype2 2.9.1-1
lib32-fribidi 1.0.5-1
lib32-gcc-libs 8.2.1+20181127-1
lib32-gdk-pixbuf2 2.38.1-1
lib32-glew 2.1.0-1
lib32-glib-networking 2.58.0-1
lib32-glib2 2.58.3-1
lib32-glibc 2.28-5
lib32-glu 9.0.0-4
lib32-gmp 6.1.2-2
lib32-gnutls 3.6.6-1
lib32-gtk3-classic 3.24.5-1
lib32-harfbuzz 2.3.1-2
lib32-icu 63.1-2
lib32-json-glib 1.4.4-1
lib32-keyutils 1.6-1
lib32-krb5 1.16.1-1
lib32-lcms2 2.9-1
lib32-libasyncns 0.8+3+g68cd5af-2
lib32-libcanberra 0.30+2+gc0620e4-1
lib32-libcanberra-pulse 0.30+2+gc0620e4-1
lib32-libcap 2.26-1
lib32-libcroco 0.6.12+4+g9ad7287-2
lib32-libcups 2.2.10-1
lib32-libdatrie 0.2.12-1
lib32-libdrm 2.4.97-1
lib32-libelf 0.176-1
lib32-libepoxy 1.5.3-1
lib32-libffi 3.2.1-2
lib32-libgcrypt 1.8.4-1
lib32-libglvnd 1.1.0-1
lib32-libgpg-error 1.35-1
lib32-libgudev 232-1
lib32-libgusb 0.3.0-1
lib32-libice 1.0.9-3
lib32-libidn 1.35-1
lib32-libidn2 2.1.1-1
lib32-libjpeg-turbo 2.0.2-1
lib32-libldap 2.4.47-1
